epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,79.0515,1.04447,0.84547,1.12178,0.98275,0.98215,0.97661,0.67218,1.10922,0.60497,1.17575,0.00098525,0.00098525,0.00098525
43,80.865,1.07669,0.88526,1.14311,0.97842,0.97718,0.97249,0.68044,1.096,0.58722,1.17063,0.0009605,0.0009605,0.0009605
44,82.594,1.03919,0.8764,1.12317,0.97788,0.97845,0.98777,0.70662,1.06742,0.57854,1.14616,0.00093575,0.00093575,0.00093575
45,84.3743,1.03629,0.84957,1.12167,0.98602,0.98276,0.9912,0.69111,1.11384,0.58654,1.15279,0.000911,0.000911,0.000911
46,86.1158,1.07096,0.84467,1.14621,0.98622,0.98276,0.99061,0.69061,1.10092,0.58482,1.15115,0.00088625,0.00088625,0.00088625
47,87.8487,1.03426,0.83281,1.12772,0.97656,0.97845,0.97733,0.67361,1.14738,0.62707,1.15638,0.0008615,0.0008615,0.0008615
48,89.6204,1.03553,0.82583,1.13106,0.98142,0.97845,0.97687,0.6726,1.1492,0.6307,1.15039,0.00083675,0.00083675,0.00083675
49,91.4019,1.03383,0.84913,1.11467,0.98706,0.98645,0.98855,0.6875,1.06901,0.59709,1.10994,0.000812,0.000812,0.000812
50,93.1941,1.01652,0.8155,1.11304,0.98274,0.98191,0.97923,0.68125,1.14454,0.58822,1.14115,0.00078725,0.00078725,0.00078725
51,94.8996,1.05222,0.77993,1.12596,0.97786,0.97845,0.97346,0.68007,1.10138,0.5596,1.10172,0.0007625,0.0007625,0.0007625
52,96.7095,1.06425,0.81434,1.14219,0.97687,0.97845,0.97382,0.65711,1.18931,0.62303,1.16632,0.00073775,0.00073775,0.00073775
53,98.4299,1.02855,0.82406,1.11048,0.98192,0.98276,0.97864,0.6957,1.06995,0.5463,1.11246,0.000713,0.000713,0.000713
54,100.145,1.02045,0.84888,1.11647,0.97757,0.97845,0.97319,0.70162,1.07385,0.55315,1.10755,0.00068825,0.00068825,0.00068825
55,101.863,1.04706,0.83558,1.12452,0.97778,0.97845,0.9735,0.67942,1.1191,0.5533,1.11812,0.0006635,0.0006635,0.0006635
56,103.603,1.0294,0.79046,1.11267,0.98121,0.97845,0.9732,0.64765,1.20564,0.57109,1.14153,0.00063875,0.00063875,0.00063875
57,105.346,1.02426,0.79909,1.10014,0.99035,0.98707,0.98966,0.69047,1.0844,0.54631,1.08958,0.000614,0.000614,0.000614
58,107.096,1.00813,0.81616,1.08921,0.98158,0.97845,0.97485,0.64808,1.21364,0.60322,1.16125,0.00058925,0.00058925,0.00058925
59,108.752,0.99729,0.80726,1.11542,0.98185,0.97845,0.97697,0.64769,1.2091,0.58886,1.16316,0.0005645,0.0005645,0.0005645
60,110.433,0.99049,0.7935,1.09467,0.98219,0.97845,0.97824,0.69307,1.09656,0.54553,1.10865,0.00053975,0.00053975,0.00053975
61,112.162,0.98619,0.79962,1.0909,0.98204,0.97845,0.97904,0.65701,1.18456,0.56121,1.14518,0.000515,0.000515,0.000515
62,113.884,1.00596,0.79863,1.11436,0.98218,0.97845,0.98065,0.66592,1.1852,0.55952,1.1558,0.00049025,0.00049025,0.00049025
63,115.585,1.00881,0.81685,1.10532,0.98267,0.97784,0.97928,0.67744,1.13604,0.56762,1.12976,0.0004655,0.0004655,0.0004655
64,117.333,1.00454,0.77394,1.10515,0.98565,0.97845,0.9791,0.68616,1.06086,0.55791,1.08474,0.00044075,0.00044075,0.00044075
65,119.115,0.98938,0.75655,1.10214,0.98696,0.97843,0.97856,0.68488,1.10345,0.56968,1.10066,0.000416,0.000416,0.000416
66,120.838,0.97683,0.78801,1.09508,0.98637,0.97845,0.97702,0.67856,1.14309,0.58417,1.12508,0.00039125,0.00039125,0.00039125
67,122.571,0.98561,0.79849,1.09488,0.99084,0.98276,0.98695,0.70659,1.0703,0.56107,1.09681,0.0003665,0.0003665,0.0003665
68,124.306,0.96193,0.78759,1.08399,0.99022,0.98276,0.98683,0.71868,1.0481,0.53837,1.08869,0.00034175,0.00034175,0.00034175
69,126.04,0.98703,0.7956,1.08487,0.9913,0.98227,0.98699,0.70221,1.06607,0.53713,1.09695,0.000317,0.000317,0.000317
70,127.752,0.96596,0.75185,1.07789,0.98694,0.98707,0.98655,0.70525,1.05134,0.53043,1.09022,0.00029225,0.00029225,0.00029225
71,146.395,0.96504,0.69847,1.09315,0.98275,0.98199,0.97899,0.70345,1.07028,0.5252,1.09812,0.0002675,0.0002675,0.0002675
72,148.138,0.93073,0.67852,1.0798,0.97368,0.97845,0.97424,0.68275,1.11268,0.54192,1.11781,0.00024275,0.00024275,0.00024275
73,149.829,0.94733,0.69723,1.08152,0.9734,0.97845,0.9732,0.67898,1.13212,0.55276,1.12404,0.000218,0.000218,0.000218
74,151.555,0.93326,0.70149,1.07628,0.97795,0.98276,0.9787,0.70101,1.07739,0.53235,1.09636,0.00019325,0.00019325,0.00019325
75,153.287,0.93711,0.6898,1.06521,0.98225,0.98707,0.98719,0.72126,1.0081,0.51538,1.06833,0.0001685,0.0001685,0.0001685
76,155.03,0.93862,0.6589,1.0821,0.97801,0.98276,0.97836,0.71799,1.01601,0.52363,1.07466,0.00014375,0.00014375,0.00014375
77,156.719,0.93289,0.66931,1.06326,0.9778,0.98276,0.97919,0.70877,1.03342,0.53469,1.07744,0.000119,0.000119,0.000119
78,158.384,0.93061,0.67345,1.07969,0.97783,0.98276,0.9792,0.71872,1.00699,0.52137,1.06444,9.425e-05,9.425e-05,9.425e-05
79,160.099,0.93035,0.65058,1.06007,0.97786,0.98276,0.97901,0.72331,1.00557,0.51061,1.06208,6.95e-05,6.95e-05,6.95e-05
80,161.821,0.9195,0.6612,1.06933,0.97783,0.98276,0.97926,0.72316,1.01001,0.51311,1.06565,4.475e-05,4.475e-05,4.475e-05
