epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,119.657,1.09677,0.80432,0.00651,0.90868,0.92672,0.97225,0.66373,1.13049,0.59372,0.00697,0.00098525,0.00098525,0.00098525
43,121.905,1.13267,0.80373,0.00671,0.9047,0.95259,0.95714,0.59471,1.37549,0.6798,0.00899,0.0009605,0.0009605,0.0009605
44,124.175,1.15396,0.82223,0.00662,0.93625,0.89224,0.96576,0.63921,1.22337,0.6343,0.00779,0.00093575,0.00093575,0.00093575
45,126.425,1.13512,0.78786,0.00664,0.90993,0.92241,0.97636,0.67367,1.12513,0.56937,0.00705,0.000911,0.000911,0.000911
46,128.691,1.14798,0.79035,0.00682,0.91934,0.9334,0.97329,0.66174,1.15378,0.55603,0.00729,0.00088625,0.00088625,0.00088625
47,131.03,1.15859,0.76722,0.00703,0.91907,0.91379,0.94956,0.60479,1.28671,0.56928,0.00847,0.0008615,0.0008615,0.0008615
48,133.351,1.1392,0.7134,0.0069,0.92067,0.92672,0.97408,0.65591,1.14246,0.54743,0.00705,0.00083675,0.00083675,0.00083675
49,135.593,1.14163,0.75004,0.00643,0.93074,0.92682,0.97246,0.66776,1.1101,0.53953,0.00671,0.000812,0.000812,0.000812
50,137.866,1.0685,0.72441,0.00632,0.92415,0.89285,0.97266,0.65377,1.1819,0.53006,0.00736,0.00078725,0.00078725,0.00078725
51,140.157,1.02661,0.67291,0.00624,0.91496,0.92241,0.97597,0.64989,1.21223,0.5171,0.00756,0.0007625,0.0007625,0.0007625
52,142.445,1.0807,0.6709,0.00648,0.90834,0.9569,0.97828,0.68508,1.09083,0.50604,0.00668,0.00073775,0.00073775,0.00073775
53,144.796,1.234,0.71741,0.00732,0.91209,0.94397,0.97769,0.67937,1.09058,0.50134,0.00672,0.000713,0.000713,0.000713
54,147.213,1.15767,0.73072,0.00678,0.86281,0.92672,0.95614,0.56377,1.44422,0.5786,0.00948,0.00068825,0.00068825,0.00068825
55,149.484,1.14732,0.70244,0.00666,0.95449,0.90409,0.96975,0.66392,1.17114,0.49253,0.00737,0.0006635,0.0006635,0.0006635
56,151.747,1.11008,0.65758,0.0064,0.91112,0.93103,0.97929,0.69835,1.04601,0.48,0.00649,0.00063875,0.00063875,0.00063875
57,154.136,1.08564,0.64013,0.00621,0.94519,0.93966,0.98469,0.70056,1.0765,0.45291,0.00659,0.000614,0.000614,0.000614
58,156.422,1.06049,0.64953,0.00596,0.9423,0.91515,0.97552,0.68402,1.11279,0.47048,0.00697,0.00058925,0.00058925,0.00058925
59,158.738,1.07109,0.67446,0.00641,0.95506,0.91601,0.96331,0.65361,1.14805,0.50698,0.0075,0.0005645,0.0005645,0.0005645
60,161.117,1.06947,0.66434,0.0062,0.95057,0.89655,0.98039,0.69156,1.09299,0.46248,0.00673,0.00053975,0.00053975,0.00053975
61,163.426,1.19541,0.65978,0.00699,0.93526,0.93401,0.98311,0.65469,1.20826,0.47695,0.00742,0.000515,0.000515,0.000515
62,165.706,1.12232,0.66407,0.00658,0.94115,0.9181,0.9725,0.67488,1.10259,0.48185,0.00693,0.00049025,0.00049025,0.00049025
63,167.986,1.1167,0.69626,0.00651,0.9312,0.93341,0.9568,0.65789,1.13895,0.49049,0.00727,0.0004655,0.0004655,0.0004655
64,170.305,1.03235,0.61494,0.00606,0.93745,0.93103,0.97335,0.69417,1.06803,0.46354,0.00658,0.00044075,0.00044075,0.00044075
65,172.551,1.04767,0.59793,0.00657,0.93579,0.94223,0.97492,0.67505,1.14957,0.4524,0.00722,0.000416,0.000416,0.000416
66,174.925,1.03392,0.63294,0.00613,0.93742,0.93103,0.97281,0.69891,1.04386,0.45035,0.00649,0.00039125,0.00039125,0.00039125
67,177.209,1.03384,0.62698,0.00622,0.95163,0.93282,0.97604,0.71529,1.01114,0.42641,0.00617,0.0003665,0.0003665,0.0003665
68,179.493,1.03372,0.61657,0.00613,0.93988,0.93534,0.97616,0.69242,1.07803,0.43404,0.00659,0.00034175,0.00034175,0.00034175
69,181.712,1.08305,0.64437,0.00616,0.94544,0.93103,0.97484,0.67101,1.15569,0.44918,0.00715,0.000317,0.000317,0.000317
70,184.007,1.02864,0.58945,0.00588,0.93284,0.95259,0.97633,0.68448,1.1061,0.43429,0.00682,0.00029225,0.00029225,0.00029225
71,200.865,0.99927,0.49675,0.00658,0.93617,0.94397,0.98772,0.70396,1.0564,0.42994,0.00642,0.0002675,0.0002675,0.0002675
72,203.27,0.97984,0.48083,0.0066,0.93221,0.94832,0.97824,0.7051,1.03477,0.43635,0.0063,0.00024275,0.00024275,0.00024275
73,205.631,1.00981,0.46723,0.00683,0.94767,0.93667,0.97788,0.70115,1.05514,0.44271,0.00654,0.000218,0.000218,0.000218
74,207.859,0.9674,0.4469,0.00653,0.94271,0.93966,0.97603,0.68907,1.10606,0.44623,0.0069,0.00019325,0.00019325,0.00019325
75,210.083,1.0057,0.46384,0.00677,0.95197,0.93534,0.97881,0.68665,1.11263,0.43654,0.00689,0.0001685,0.0001685,0.0001685
76,212.318,0.98363,0.46351,0.00656,0.96439,0.93379,0.97929,0.68667,1.10799,0.42232,0.0068,0.00014375,0.00014375,0.00014375
77,214.655,0.97054,0.45413,0.00633,0.9603,0.94397,0.97937,0.69626,1.08276,0.41951,0.0066,0.000119,0.000119,0.000119
78,216.91,0.95816,0.46747,0.00639,0.94959,0.94828,0.97958,0.69515,1.06773,0.41727,0.00654,9.425e-05,9.425e-05,9.425e-05
79,219.155,0.96657,0.4661,0.00637,0.95188,0.94397,0.97769,0.69319,1.07409,0.41431,0.00661,6.95e-05,6.95e-05,6.95e-05
80,221.724,0.94753,0.46474,0.00618,0.95585,0.93324,0.97711,0.69898,1.06835,0.41733,0.00659,4.475e-05,4.475e-05,4.475e-05
